model,profile_id,repetition,w_low,w_high,delta
DeepSeek-V3.2,P08,5,75.0,20.0,55.0
DeepSeek-V3.2,P09,1,75.0,30.0,45.0
DeepSeek-V3.2,P09,2,75.0,30.0,45.0
DeepSeek-V3.2,P09,3,75.0,30.0,45.0
DeepSeek-V3.2,P09,4,75.0,30.0,45.0
DeepSeek-V3.2,P09,5,75.0,30.0,45.0
DeepSeek-V3.2,P10,1,75.0,20.0,55.0
DeepSeek-V3.2,P10,2,75.0,20.0,55.0
DeepSeek-V3.2,P10,3,75.0,20.0,55.0
DeepSeek-V3.2,P10,4,75.0,20.0,55.0
DeepSeek-V3.2,P10,5,75.0,20.0,55.0
DeepSeek-V3.2,P11,1,75.0,25.0,50.0
DeepSeek-V3.2,P11,2,75.0,25.0,50.0
DeepSeek-V3.2,P11,3,75.0,25.0,50.0
DeepSeek-V3.2,P11,4,75.0,25.0,50.0
DeepSeek-V3.2,P11,5,75.0,25.0,50.0
DeepSeek-V3.2,P12,1,85.0,30.0,55.0
DeepSeek-V3.2,P12,2,85.0,30.0,55.0
DeepSeek-V3.2,P12,3,75.0,30.0,45.0
DeepSeek-V3.2,P12,4,85.0,20.0,65.0
DeepSeek-V3.2,P12,5,85.0,30.0,55.0
DeepSeek-V3.2,P13,1,75.0,30.0,45.0
DeepSeek-V3.2,P13,2,75.0,30.0,45.0
DeepSeek-V3.2,P13,3,75.0,30.0,45.0
DeepSeek-V3.2,P13,4,75.0,30.0,45.0
DeepSeek-V3.2,P13,5,75.0,30.0,45.0
DeepSeek-V3.2,P14,1,75.0,25.0,50.0
DeepSeek-V3.2,P14,2,75.0,25.0,50.0
DeepSeek-V3.2,P14,3,75.0,30.0,45.0
DeepSeek-V3.2,P14,4,75.0,25.0,50.0
DeepSeek-V3.2,P14,5,75.0,25.0,50.0
DeepSeek-V3.2,P15,1,75.0,35.0,40.0
DeepSeek-V3.2,P15,2,75.0,35.0,40.0
DeepSeek-V3.2,P15,3,75.0,35.0,40.0
DeepSeek-V3.2,P15,4,75.0,35.0,40.0
DeepSeek-V3.2,P15,5,75.0,35.0,40.0
DeepSeek-V3.2,P16,1,75.0,30.0,45.0
DeepSeek-V3.2,P16,2,75.0,30.0,45.0
DeepSeek-V3.2,P16,3,75.0,30.0,45.0
DeepSeek-V3.2,P16,4,75.0,30.0,45.0
DeepSeek-V3.2,P16,5,75.0,30.0,45.0
DeepSeek-V3.2,P17,1,75.0,30.0,45.0
DeepSeek-V3.2,P17,2,75.0,30.0,45.0
DeepSeek-V3.2,P17,3,75.0,30.0,45.0
DeepSeek-V3.2,P17,4,75.0,30.0,45.0
DeepSeek-V3.2,P17,5,75.0,30.0,45.0
DeepSeek-V3.2,P18,1,85.0,30.0,55.0
DeepSeek-V3.2,P18,2,85.0,40.0,45.0
DeepSeek-V3.2,P18,3,85.0,30.0,55.0
DeepSeek-V3.2,P18,4,85.0,30.0,55.0
DeepSeek-V3.2,P18,5,85.0,30.0,55.0
DeepSeek-V3.2,P19,1,75.0,20.0,55.0
DeepSeek-V3.2,P19,2,75.0,20.0,55.0
DeepSeek-V3.2,P19,3,75.0,20.0,55.0
DeepSeek-V3.2,P19,4,75.0,30.0,45.0
DeepSeek-V3.2,P19,5,75.0,20.0,55.0
DeepSeek-V3.2,P20,1,75.0,25.0,50.0
DeepSeek-V3.2,P20,2,75.0,25.0,50.0
DeepSeek-V3.2,P20,3,85.0,25.0,60.0
DeepSeek-V3.2,P20,4,75.0,30.0,45.0
DeepSeek-V3.2,P20,5,85.0,25.0,60.0
DeepSeek-V3.2,P21,1,85.0,20.0,65.0
DeepSeek-V3.2,P21,2,75.0,30.0,45.0
DeepSeek-V3.2,P21,3,75.0,30.0,45.0
DeepSeek-V3.2,P21,4,75.0,30.0,45.0
DeepSeek-V3.2,P21,5,75.0,30.0,45.0
DeepSeek-V3.2,P22,1,75.0,30.0,45.0
DeepSeek-V3.2,P22,2,75.0,30.0,45.0
DeepSeek-V3.2,P22,3,75.0,30.0,45.0
DeepSeek-V3.2,P22,4,75.0,30.0,45.0
DeepSeek-V3.2,P22,5,75.0,30.0,45.0
DeepSeek-V3.2,P23,1,75.0,20.0,55.0
DeepSeek-V3.2,P23,2,75.0,20.0,55.0
DeepSeek-V3.2,P23,3,75.0,20.0,55.0
DeepSeek-V3.2,P23,4,75.0,30.0,45.0
DeepSeek-V3.2,P23,5,75.0,30.0,45.0
DeepSeek-V3.2,P24,1,85.0,40.0,45.0
DeepSeek-V3.2,P24,2,85.0,40.0,45.0
DeepSeek-V3.2,P24,3,85.0,40.0,45.0
DeepSeek-V3.2,P24,4,85.0,40.0,45.0
DeepSeek-V3.2,P24,5,85.0,40.0,45.0
DeepSeek-V3.2,P25,1,75.0,30.0,45.0
DeepSeek-V3.2,P25,2,75.0,30.0,45.0
DeepSeek-V3.2,P25,3,75.0,30.0,45.0
DeepSeek-V3.2,P25,4,75.0,30.0,45.0
DeepSeek-V3.2,P25,5,75.0,30.0,45.0
DeepSeek-V3.2,P26,1,75.0,30.0,45.0
DeepSeek-V3.2,P26,2,75.0,30.0,45.0
DeepSeek-V3.2,P26,3,75.0,30.0,45.0
DeepSeek-V3.2,P26,4,75.0,30.0,45.0
DeepSeek-V3.2,P26,5,75.0,30.0,45.0
DeepSeek-V3.2,P27,1,85.0,30.0,55.0
DeepSeek-V3.2,P27,2,85.0,30.0,55.0
DeepSeek-V3.2,P27,3,85.0,30.0,55.0
DeepSeek-V3.2,P27,4,85.0,30.0,55.0
DeepSeek-V3.2,P27,5,85.0,30.0,55.0
GPT-4.1,P01,1,80.0,40.0,40.0
GPT-4.1,P01,2,75.0,40.0,35.0
GPT-4.1,P01,3,80.0,40.0,40.0
GPT-4.1,P01,4,75.0,40.0,35.0
GPT-4.1,P01,5,80.0,40.0,40.0
GPT-4.1,P02,1,85.0,40.0,45.0
GPT-4.1,P02,2,85.0,40.0,45.0
GPT-4.1,P02,3,85.0,45.0,40.0
GPT-4.1,P02,4,85.0,40.0,45.0
GPT-4.1,P02,5,85.0,45.0,40.0
GPT-4.1,P03,1,85.0,45.0,40.0
GPT-4.1,P03,2,80.0,45.0,35.0
GPT-4.1,P03,3,85.0,45.0,40.0
GPT-4.1,P03,4,85.0,45.0,40.0
GPT-4.1,P03,5,80.0,45.0,35.0
GPT-4.1,P04,1,80.0,45.0,35.0
GPT-4.1,P04,2,80.0,45.0,35.0
GPT-4.1,P04,3,80.0,45.0,35.0
GPT-4.1,P04,4,75.0,45.0,30.0
GPT-4.1,P04,5,75.0,45.0,30.0
GPT-4.1,P05,1,80.0,45.0,35.0
GPT-4.1,P05,2,80.0,45.0,35.0
GPT-4.1,P05,3,80.0,45.0,35.0
GPT-4.1,P05,4,80.0,45.0,35.0
GPT-4.1,P05,5,80.0,45.0,35.0
GPT-4.1,P06,1,85.0,60.0,25.0
GPT-4.1,P06,2,85.0,60.0,25.0
GPT-4.1,P06,3,85.0,60.0,25.0
GPT-4.1,P06,4,85.0,60.0,25.0
GPT-4.1,P06,5,85.0,60.0,25.0
GPT-4.1,P07,1,75.0,55.0,20.0
GPT-4.1,P07,2,75.0,55.0,20.0
GPT-4.1,P07,3,75.0,55.0,20.0
GPT-4.1,P07,4,80.0,55.0,25.0
GPT-4.1,P07,5,75.0,55.0,20.0
GPT-4.1,P08,1,85.0,55.0,30.0
GPT-4.1,P08,2,85.0,55.0,30.0
GPT-4.1,P08,3,80.0,55.0,25.0
GPT-4.1,P08,4,80.0,55.0,25.0
GPT-4.1,P08,5,85.0,55.0,30.0
GPT-4.1,P09,1,85.0,60.0,25.0
GPT-4.1,P09,2,85.0,60.0,25.0
GPT-4.1,P09,3,85.0,60.0,25.0
GPT-4.1,P09,4,85.0,60.0,25.0
GPT-4.1,P09,5,85.0,60.0,25.0
GPT-4.1,P10,1,80.0,45.0,35.0
GPT-4.1,P10,2,80.0,45.0,35.0
GPT-4.1,P10,3,80.0,45.0,35.0
GPT-4.1,P10,4,80.0,45.0,35.0
GPT-4.1,P10,5,80.0,45.0,35.0
GPT-4.1,P11,1,85.0,45.0,40.0
GPT-4.1,P11,2,85.0,45.0,40.0
GPT-4.1,P11,3,85.0,45.0,40.0
GPT-4.1,P11,4,85.0,45.0,40.0
GPT-4.1,P11,5,85.0,45.0,40.0
GPT-4.1,P12,1,85.0,45.0,40.0
GPT-4.1,P12,2,85.0,55.0,30.0
GPT-4.1,P12,3,85.0,55.0,30.0
GPT-4.1,P12,4,85.0,45.0,40.0
GPT-4.1,P12,5,85.0,45.0,40.0
GPT-4.1,P13,1,80.0,55.0,25.0
GPT-4.1,P13,2,80.0,55.0,25.0
GPT-4.1,P13,3,80.0,55.0,25.0
GPT-4.1,P13,4,80.0,55.0,25.0
GPT-4.1,P13,5,80.0,55.0,25.0
GPT-4.1,P14,1,85.0,55.0,30.0
GPT-4.1,P14,2,85.0,55.0,30.0
GPT-4.1,P14,3,85.0,55.0,30.0
GPT-4.1,P14,4,85.0,55.0,30.0
GPT-4.1,P14,5,85.0,55.0,30.0
GPT-4.1,P15,1,85.0,60.0,25.0
GPT-4.1,P15,2,85.0,60.0,25.0
GPT-4.1,P15,3,85.0,60.0,25.0
GPT-4.1,P15,4,85.0,60.0,25.0
GPT-4.1,P15,5,85.0,60.0,25.0
GPT-4.1,P16,1,80.0,60.0,20.0
GPT-4.1,P16,2,80.0,60.0,20.0
GPT-4.1,P16,3,80.0,60.0,20.0
GPT-4.1,P16,4,80.0,60.0,20.0
GPT-4.1,P16,5,80.0,60.0,20.0
GPT-4.1,P17,1,85.0,60.0,25.0
GPT-4.1,P17,2,85.0,60.0,25.0
GPT-4.1,P17,3,85.0,60.0,25.0
GPT-4.1,P17,4,85.0,60.0,25.0
GPT-4.1,P17,5,85.0,60.0,25.0
GPT-4.1,P18,1,85.0,65.0,20.0
GPT-4.1,P18,2,85.0,65.0,20.0
GPT-4.1,P18,3,85.0,65.0,20.0
GPT-4.1,P18,4,85.0,65.0,20.0
GPT-4.1,P18,5,85.0,65.0,20.0
GPT-4.1,P19,1,80.0,45.0,35.0
GPT-4.1,P19,2,80.0,45.0,35.0
GPT-4.1,P19,3,80.0,45.0,35.0
GPT-4.1,P19,4,80.0,45.0,35.0
GPT-4.1,P19,5,80.0,45.0,35.0
GPT-4.1,P20,1,85.0,45.0,40.0
GPT-4.1,P20,2,85.0,45.0,40.0
GPT-4.1,P20,3,85.0,55.0,30.0
GPT-4.1,P20,4,85.0,45.0,40.0
GPT-4.1,P20,5,85.0,45.0,40.0
GPT-4.1,P21,1,85.0,55.0,30.0
GPT-4.1,P21,2,85.0,55.0,30.0
GPT-4.1,P21,3,85.0,55.0,30.0
GPT-4.1,P21,4,85.0,55.0,30.0
GPT-4.1,P21,5,85.0,55.0,30.0
GPT-4.1,P22,1,85.0,55.0,30.0
GPT-4.1,P22,2,80.0,55.0,25.0
GPT-4.1,P22,3,80.0,60.0,20.0
GPT-4.1,P22,4,85.0,60.0,25.0
GPT-4.1,P22,5,85.0,60.0,25.0
GPT-4.1,P23,1,85.0,55.0,30.0
GPT-4.1,P23,2,85.0,55.0,30.0
GPT-4.1,P23,3,85.0,60.0,25.0
GPT-4.1,P23,4,85.0,55.0,30.0
GPT-4.1,P23,5,85.0,55.0,30.0
GPT-4.1,P24,1,85.0,65.0,20.0
GPT-4.1,P24,2,85.0,65.0,20.0
GPT-4.1,P24,3,85.0,65.0,20.0
GPT-4.1,P24,4,85.0,65.0,20.0
GPT-4.1,P24,5,85.0,65.0,20.0
GPT-4.1,P25,1,80.0,60.0,20.0
GPT-4.1,P25,2,80.0,60.0,20.0
GPT-4.1,P25,3,80.0,60.0,20.0
GPT-4.1,P25,4,80.0,60.0,20.0
GPT-4.1,P25,5,80.0,60.0,20.0
GPT-4.1,P26,1,85.0,60.0,25.0
GPT-4.1,P26,2,85.0,60.0,25.0
GPT-4.1,P26,3,85.0,60.0,25.0
GPT-4.1,P26,4,85.0,60.0,25.0
GPT-4.1,P26,5,85.0,60.0,25.0
GPT-4.1,P27,1,85.0,65.0,20.0
GPT-4.1,P27,2,85.0,65.0,20.0
GPT-4.1,P27,3,85.0,65.0,20.0
GPT-4.1,P27,4,85.0,65.0,20.0
GPT-4.1,P27,5,85.0,65.0,20.0
GPT-4.1 mini,P01,1,75.0,30.0,45.0
GPT-4.1 mini,P01,2,75.0,30.0,45.0
GPT-4.1 mini,P01,3,75.0,30.0,45.0
GPT-4.1 mini,P01,4,75.0,30.0,45.0
GPT-4.1 mini,P01,5,75.0,30.0,45.0
GPT-4.1 mini,P02,1,75.0,30.0,45.0
GPT-4.1 mini,P02,2,75.0,30.0,45.0
GPT-4.1 mini,P02,3,75.0,35.0,40.0
GPT-4.1 mini,P02,4,75.0,35.0,40.0
GPT-4.1 mini,P02,5,75.0,35.0,40.0
GPT-4.1 mini,P03,1,75.0,40.0,35.0
GPT-4.1 mini,P03,2,75.0,40.0,35.0
GPT-4.1 mini,P03,3,75.0,40.0,35.0
GPT-4.1 mini,P03,4,75.0,40.0,35.0
GPT-4.1 mini,P03,5,75.0,40.0,35.0
GPT-4.1 mini,P04,1,75.0,40.0,35.0
GPT-4.1 mini,P04,2,75.0,40.0,35.0
GPT-4.1 mini,P04,3,75.0,40.0,35.0
GPT-4.1 mini,P04,4,75.0,40.0,35.0
GPT-4.1 mini,P04,5,75.0,40.0,35.0
GPT-4.1 mini,P05,1,75.0,40.0,35.0
GPT-4.1 mini,P05,2,75.0,40.0,35.0
GPT-4.1 mini,P05,3,75.0,40.0,35.0
GPT-4.1 mini,P05,4,75.0,40.0,35.0
GPT-4.1 mini,P05,5,75.0,40.0,35.0
GPT-4.1 mini,P06,1,75.0,45.0,30.0
GPT-4.1 mini,P06,2,75.0,45.0,30.0
GPT-4.1 mini,P06,3,75.0,45.0,30.0
GPT-4.1 mini,P06,4,85.0,45.0,40.0
GPT-4.1 mini,P06,5,85.0,45.0,40.0
GPT-4.1 mini,P07,1,75.0,40.0,35.0
GPT-4.1 mini,P07,2,75.0,40.0,35.0
GPT-4.1 mini,P07,3,75.0,40.0,35.0
GPT-4.1 mini,P07,4,75.0,40.0,35.0
GPT-4.1 mini,P07,5,75.0,40.0,35.0
GPT-4.1 mini,P08,1,75.0,45.0,30.0
GPT-4.1 mini,P08,2,75.0,40.0,35.0
GPT-4.1 mini,P08,3,75.0,45.0,30.0
GPT-4.1 mini,P08,4,75.0,45.0,30.0
GPT-4.1 mini,P08,5,75.0,40.0,35.0
GPT-4.1 mini,P09,1,85.0,45.0,40.0
GPT-4.1 mini,P09,2,85.0,45.0,40.0
GPT-4.1 mini,P09,3,85.0,45.0,40.0
GPT-4.1 mini,P09,4,85.0,45.0,40.0
GPT-4.1 mini,P09,5,85.0,40.0,45.0
GPT-4.1 mini,P10,1,75.0,40.0,35.0
GPT-4.1 mini,P10,2,75.0,40.0,35.0
GPT-4.1 mini,P10,3,75.0,40.0,35.0
GPT-4.1 mini,P10,4,75.0,30.0,45.0
GPT-4.1 mini,P10,5,75.0,30.0,45.0
GPT-4.1 mini,P11,1,75.0,35.0,40.0
GPT-4.1 mini,P11,2,75.0,40.0,35.0
GPT-4.1 mini,P11,3,75.0,40.0,35.0
GPT-4.1 mini,P11,4,75.0,35.0,40.0
GPT-4.1 mini,P11,5,75.0,35.0,40.0
GPT-4.1 mini,P12,1,75.0,40.0,35.0
GPT-4.1 mini,P12,2,75.0,40.0,35.0
GPT-4.1 mini,P12,3,75.0,40.0,35.0
GPT-4.1 mini,P12,4,75.0,40.0,35.0
GPT-4.1 mini,P12,5,75.0,40.0,35.0
GPT-4.1 mini,P13,1,75.0,40.0,35.0
GPT-4.1 mini,P13,2,75.0,40.0,35.0
GPT-4.1 mini,P13,3,75.0,40.0,35.0
GPT-4.1 mini,P13,4,75.0,40.0,35.0
GPT-4.1 mini,P13,5,75.0,40.0,35.0
GPT-4.1 mini,P14,1,75.0,45.0,30.0
GPT-4.1 mini,P14,2,75.0,40.0,35.0
GPT-4.1 mini,P14,3,75.0,40.0,35.0
GPT-4.1 mini,P14,4,75.0,40.0,35.0
GPT-4.1 mini,P14,5,75.0,40.0,35.0
GPT-4.1 mini,P15,1,75.0,45.0,30.0
GPT-4.1 mini,P15,2,75.0,45.0,30.0
GPT-4.1 mini,P15,3,75.0,45.0,30.0
GPT-4.1 mini,P15,4,75.0,45.0,30.0
GPT-4.1 mini,P15,5,75.0,45.0,30.0
GPT-4.1 mini,P16,1,75.0,45.0,30.0
GPT-4.1 mini,P16,2,75.0,40.0,35.0
GPT-4.1 mini,P16,3,75.0,45.0,30.0
GPT-4.1 mini,P16,4,75.0,40.0,35.0
GPT-4.1 mini,P16,5,75.0,45.0,30.0
GPT-4.1 mini,P17,1,75.0,40.0,35.0
GPT-4.1 mini,P17,2,75.0,45.0,30.0
GPT-4.1 mini,P17,3,75.0,45.0,30.0
GPT-4.1 mini,P17,4,75.0,45.0,30.0
GPT-4.1 mini,P17,5,75.0,40.0,35.0
GPT-4.1 mini,P18,1,85.0,45.0,40.0
GPT-4.1 mini,P18,2,85.0,45.0,40.0
GPT-4.1 mini,P18,3,85.0,45.0,40.0
GPT-4.1 mini,P18,4,85.0,45.0,40.0
GPT-4.1 mini,P18,5,85.0,45.0,40.0
GPT-4.1 mini,P19,1,75.0,40.0,35.0
GPT-4.1 mini,P19,2,75.0,40.0,35.0
GPT-4.1 mini,P19,3,75.0,40.0,35.0
