bib_author,bib_title,bib_year,cr_authors,cr_container,cr_first_author,cr_title,cr_year,detail,doi,key,status
"B{\ae}kgaard, Martin and Moynihan, Donald P. and Thomsen, Mette Kj{\ae}rgaard","Why Do Policymakers Support Administrative Burdens? The Roles of Deservingness, Political Ideology, and Personal Experience",2021,"Baekgaard, Martin; Moynihan, Donald P; Thomsen, Mette Kjærgaard",Journal of Public Administration Research and Theory,baekgaard,"Why Do Policymakers Support Administrative Burdens? The Roles of Deservingness, Political Ideology, and Personal Experience",2020,year: bib=2021 crossref=2020,10.1093/jopart/muaa033,baekgaard2021burden,MISMATCH
"Bisbee, James and Clinton, Joshua D. and Dorff, Cassy and Kenkel, Brent and Potter, Joshua M.",Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,2024,"Wirsching, Elisa M.; Rodriguez, Pedro L.; Spirling, Arthur; Stewart, Brandon M.",Political Analysis,wirsching,"Multilanguage Word Embeddings for Social Scientists: Estimation, Inference, and Validation Resources for 157 Languages",2024,title: bib='Synthetic Replacements for Human Survey Data? The Perils of ' crossref='Multilanguage Word Embeddings for Social Scientists: Estimat' | first author: bib='bisbee' crossref='wirsching',10.1017/pan.2024.17,bisbee2024synthetic,MISMATCH
"Halling, Aske and B{\ae}kgaard, Martin",Administrative Burden in Citizen--State Interactions: A Systematic Literature Review,2023,"Halling, Aske; Baekgaard, Martin",Journal of Public Administration Research and Theory,halling,Administrative Burden in Citizen–State Interactions: A Systematic Literature Review,2023,,10.1093/jopart/muad023,halling2023administrative,OK
"Herd, Pamela and Moynihan, Donald P.",Administrative Burden: Policymaking by Other Means,2018,,,,,,no Crossref DOI by title (book/report/preprint?),,herd2018administrative,NO-MATCH
"Hewitt, Luke and Ashokkumar, Ashwini and Ghezae, Isabel and Willer, Robb",Large Language Models Can Predict the Results of Social Science Experiments,2026,"Ashokkumar, Ashwini; Hewitt, Luke; Ghezae, Isaias; Willer, Robb",,Ashokkumar,Large language models can predict the results of social science experiments,2026,probable DOI 10.31234/osf.io/3svep_v1,,hewitt2024large,SUGGEST-DOI
"Horton, John J.",Large Language Models as Simulated Economic Agents: What Can We Learn from Homo Silicus?,2023,"Horton, John; Filippas, Apostolos; Manning, Benjamin",,Horton,Large Language Models as Simulated Economic Agents: What Can We Learn from Homo Silicus?,2023,probable DOI 10.3386/w31122,,horton2023large,SUGGEST-DOI
"Kang, Inkyu and Sievert, Martin and Na, Chongmin","Development of a Scale to Measure Perceived Administrative Burden, With Broad Applicability Beyond Direct Policy Clients",2025,"Kang, Inkyu; Sievert, Martin; Na, Chongmin",Governance,kang,"Development of a Scale to Measure Perceived Administrative Burden, With Broad Applicability Beyond Direct Policy Clients",2025,,10.1111/gove.70026,kang2025development,OK
"Koaik, Fatima and Gupta, Aayush and Sheikh, Farahan Raza",LLM-Powered Social Digital Twins: A Framework for Simulating Population Behavioral Response to Policy Interventions,2026,,,,,,no Crossref DOI by title (book/report/preprint?),,koaik2026llm,NO-MATCH
"Mettler, Suzanne and Soss, Joe",Policy Feedback Theory,2004,"Bennett, W. Lance",Annual Review of Political Science,bennett,GLOBAL MEDIA AND POLITICS: Transnational Communication Regimes and Civic Cultures,2004,title: bib='Policy Feedback Theory' crossref='GLOBAL MEDIA AND POLITICS: Transnational Communication Regim' | first author: bib='mettler' crossref='bennett',10.1146/annurev.polisci.7.012003.104804,mettler2004policy,MISMATCH
"Moynihan, Donald P. and Herd, Pamela and Harvey, Hope","Administrative Burden: Learning, Psychological, and Compliance Costs in Citizen-State Interactions",2015,"Moynihan, D.; Herd, P.; Harvey, H.",Journal of Public Administration Research and Theory,Moynihan,"Administrative Burden: Learning, Psychological, and Compliance Costs in Citizen-State Interactions",2014,probable DOI 10.1093/jopart/muu009,,moynihan2015administrative,SUGGEST-DOI
"Powers, Kaleigh and Reeder, Bryce and Tucker, Joshua A.",The Psychology of Coercion Failure: How Reactance Explains Resistance to Threats,2023,"Powers, Kathleen E.; Altman, Dan",American Journal of Political Science,powers,The Psychology of Coercion Failure: How Reactance Explains Resistance to Threats,2022,year: bib=2023 crossref=2022,10.1111/ajps.12711,powers2023reactance,MISMATCH
"Ryan, Richard M. and Deci, Edward L.","Self-Determination Theory: Basic Psychological Needs in Motivation, Development, and Wellness",2017,,,,"Self-Determination Theory: Basic Psychological Needs in Motivation, Development, and Wellness",2017,probable DOI 10.1521/978.14625/28806,,ryan2017self,SUGGEST-DOI
"Santurkar, Shibani and Durmus, Esin and Ladhak, Faisal and Lee, Cinoo and Liang, Percy and Hashimoto, Tatsunori",Whose Opinions Do Language Models Reflect?,2023,,,,,,no Crossref DOI by title (book/report/preprint?),,santurkar2023whose,NO-MATCH
"Schneider, Anne Larason and Ingram, Helen M.",Policy Design for Democracy,1997,,,,,,no Crossref DOI by title (book/report/preprint?),,schneider1997social,NO-MATCH
